REGION,SUBNETWORK_TYPES,SPREAD,#ZONES,#TEST,#VEHICLES,COMPARTMENTS DIV.,#REQUESTS,DEMAND_DIST_MODE,SL_SHARE,INTERVAL,TRIPS_DIST,DEMAND_LIMIT,A,C,D,OVERALL_OCCUPANCY,OPERATING_VEHICLES,PROFIT,REQUESTS_REVENUE,OPERATIONAL_COSTS,SOL_GAP,NUM_VARS,NUM_CONSTRS,OBJ_BOUND,OBJ_VAL,NODE_COUNT,SOL_COUNT,ITER_COUNT,PREPROCESS,RUNTIME,PATH_NETWORKS,PATH_REQUESTS,PATH_VEHICLES,IMAGE,LOG
delft-the-netherlands,zones,S025,Z01,01,10,A5,50,AV,S1,05-10min,0.1km-10km,A5,0,0,50,37.299296,3,-44529.710000,526.697600,56.406000,0.000001,55412,118358,-44529.651400,-44529.708400,1.0,2,12821.0,11.000000,22.833000,"=HYPERLINK(""instances/hybrid/networks/delft-the-netherlands_zones_S025_Z01_01.json"";""delft-the-netherlands_zones_S025_Z01_01"")","=HYPERLINK(""instances/hybrid/requests/delft-the-netherlands_zones_S025_Z01_01/50_AV_S1_05-10min_0.1km-10km_A5.csv"";""50_AV_S1_05-10min_0.1km-10km_A5"")","=HYPERLINK(""instances/hybrid/vehicles/delft-the-netherlands_zones_S025_Z01_01/10_A5.csv"";""10_A5"")","=HYPERLINK(""images/delft-the-netherlands_zones_S025_Z01_01.png"";""delft-the-netherlands_zones_S025_Z01_01.png"")","=HYPERLINK(""solution_logs/delft-the-netherlands_zones_S025_Z01_01_10_A5_50_AV_S1_05-10min_0.1km-10km_A5.log"";""delft-the-netherlands_zones_S025_Z01_01_10_A5_50_AV_S1_05-10min_0.1km-10km_A5"")"
delft-the-netherlands,zones,S025,Z01,01,10,A5,50,HI,S1,05-10min,0.1km-10km,A5,0,0,50,36.226079,3,-44560.480000,494.198400,54.681000,0.336457,62651,133190,-29567.783100,-44560.482600,754.0,6,130979.0,12.000000,600.055000,"=HYPERLINK(""instances/hybrid/networks/delft-the-netherlands_zones_S025_Z01_01.json"";""delft-the-netherlands_zones_S025_Z01_01"")","=HYPERLINK(""instances/hybrid/requests/delft-the-netherlands_zones_S025_Z01_01/50_HI_S1_05-10min_0.1km-10km_A5.csv"";""50_HI_S1_05-10min_0.1km-10km_A5"")","=HYPERLINK(""instances/hybrid/vehicles/delft-the-netherlands_zones_S025_Z01_01/10_A5.csv"";""10_A5"")","=HYPERLINK(""images/delft-the-netherlands_zones_S025_Z01_01.png"";""delft-the-netherlands_zones_S025_Z01_01.png"")","=HYPERLINK(""solution_logs/delft-the-netherlands_zones_S025_Z01_01_10_A5_50_HI_S1_05-10min_0.1km-10km_A5.log"";""delft-the-netherlands_zones_S025_Z01_01_10_A5_50_HI_S1_05-10min_0.1km-10km_A5"")"
delft-the-netherlands,zones,S025,Z01,01,10,A5,50,LO,S1,05-10min,0.1km-10km,A5,0,0,50,37.536889,3,-44548.300000,518.473600,66.777000,0.000000,49883,106650,-44548.303400,-44548.303400,0.0,1,5937.0,10.000000,10.469999,"=HYPERLINK(""instances/hybrid/networks/delft-the-netherlands_zones_S025_Z01_01.json"";""delft-the-netherlands_zones_S025_Z01_01"")","=HYPERLINK(""instances/hybrid/requests/delft-the-netherlands_zones_S025_Z01_01/50_LO_S1_05-10min_0.1km-10km_A5.csv"";""50_LO_S1_05-10min_0.1km-10km_A5"")","=HYPERLINK(""instances/hybrid/vehicles/delft-the-netherlands_zones_S025_Z01_01/10_A5.csv"";""10_A5"")","=HYPERLINK(""images/delft-the-netherlands_zones_S025_Z01_01.png"";""delft-the-netherlands_zones_S025_Z01_01.png"")","=HYPERLINK(""solution_logs/delft-the-netherlands_zones_S025_Z01_01_10_A5_50_LO_S1_05-10min_0.1km-10km_A5.log"";""delft-the-netherlands_zones_S025_Z01_01_10_A5_50_LO_S1_05-10min_0.1km-10km_A5"")"
delft-the-netherlands,subnetworks,S025,SUB,08,10,A5,50,AV,S1,05-10min,0.1km-10km,A5,0,0,50,32.582211,3,-74601.110000,481.456000,82.568000,0.000000,57526,122726,-74601.112000,-74601.112000,1.0,1,27445.0,11.000000,47.078999,"=HYPERLINK(""instances/hybrid/networks/delft-the-netherlands_subnetworks_S025_SUB_08.json"";""delft-the-netherlands_subnetworks_S025_SUB_08"")","=HYPERLINK(""instances/hybrid/requests/delft-the-netherlands_subnetworks_S025_SUB_08/50_AV_S1_05-10min_0.1km-10km_A5.csv"";""50_AV_S1_05-10min_0.1km-10km_A5"")","=HYPERLINK(""instances/hybrid/vehicles/delft-the-netherlands_subnetworks_S025_SUB_08/10_A5.csv"";""10_A5"")","=HYPERLINK(""images/delft-the-netherlands_subnetworks_S025_SUB_08.png"";""delft-the-netherlands_subnetworks_S025_SUB_08.png"")","=HYPERLINK(""solution_logs/delft-the-netherlands_subnetworks_S025_SUB_08_10_A5_50_AV_S1_05-10min_0.1km-10km_A5.log"";""delft-the-netherlands_subnetworks_S025_SUB_08_10_A5_50_AV_S1_05-10min_0.1km-10km_A5"")"
delft-the-netherlands,subnetworks,S025,SUB,08,10,A5,50,HI,S1,05-10min,0.1km-10km,A5,0,0,50,32.221620,3,-74561.440000,521.345600,82.788000,0.000022,56575,121178,-74559.810400,-74561.442400,1.0,1,22259.0,11.000000,32.578001,"=HYPERLINK(""instances/hybrid/networks/delft-the-netherlands_subnetworks_S025_SUB_08.json"";""delft-the-netherlands_subnetworks_S025_SUB_08"")","=HYPERLINK(""instances/hybrid/requests/delft-the-netherlands_subnetworks_S025_SUB_08/50_HI_S1_05-10min_0.1km-10km_A5.csv"";""50_HI_S1_05-10min_0.1km-10km_A5"")","=HYPERLINK(""instances/hybrid/vehicles/delft-the-netherlands_subnetworks_S025_SUB_08/10_A5.csv"";""10_A5"")","=HYPERLINK(""images/delft-the-netherlands_subnetworks_S025_SUB_08.png"";""delft-the-netherlands_subnetworks_S025_SUB_08.png"")","=HYPERLINK(""solution_logs/delft-the-netherlands_subnetworks_S025_SUB_08_10_A5_50_HI_S1_05-10min_0.1km-10km_A5.log"";""delft-the-netherlands_subnetworks_S025_SUB_08_10_A5_50_HI_S1_05-10min_0.1km-10km_A5"")"
delft-the-netherlands,subnetworks,S025,SUB,08,10,A5,50,LO,S1,05-10min,0.1km-10km,A5,0,0,50,34.358418,3,-74612.400000,479.996800,92.396000,0.000004,53073,112868,-74612.135200,-74612.399200,1.0,2,8911.0,11.000000,13.653000,"=HYPERLINK(""instances/hybrid/networks/delft-the-netherlands_subnetworks_S025_SUB_08.json"";""delft-the-netherlands_subnetworks_S025_SUB_08"")","=HYPERLINK(""instances/hybrid/requests/delft-the-netherlands_subnetworks_S025_SUB_08/50_LO_S1_05-10min_0.1km-10km_A5.csv"";""50_LO_S1_05-10min_0.1km-10km_A5"")","=HYPERLINK(""instances/hybrid/vehicles/delft-the-netherlands_subnetworks_S025_SUB_08/10_A5.csv"";""10_A5"")","=HYPERLINK(""images/delft-the-netherlands_subnetworks_S025_SUB_08.png"";""delft-the-netherlands_subnetworks_S025_SUB_08.png"")","=HYPERLINK(""solution_logs/delft-the-netherlands_subnetworks_S025_SUB_08_10_A5_50_LO_S1_05-10min_0.1km-10km_A5.log"";""delft-the-netherlands_subnetworks_S025_SUB_08_10_A5_50_LO_S1_05-10min_0.1km-10km_A5"")"
delft-the-netherlands,subnetworks,S025,SUB,08,10,A5,100,HI,S1,05-10min,0.1km-10km,A5,20,0,80,29.688560,3,-69195.300000,928.884800,124.182000,0.000087,225966,467860,-69189.287150,-69195.297200,1.0,2,45851.0,47.000000,250.573999,"=HYPERLINK(""instances/hybrid/networks/delft-the-netherlands_subnetworks_S025_SUB_08.json"";""delft-the-netherlands_subnetworks_S025_SUB_08"")","=HYPERLINK(""instances/hybrid/requests/delft-the-netherlands_subnetworks_S025_SUB_08/100_HI_S1_05-10min_0.1km-10km_A5.csv"";""100_HI_S1_05-10min_0.1km-10km_A5"")","=HYPERLINK(""instances/hybrid/vehicles/delft-the-netherlands_subnetworks_S025_SUB_08/10_A5.csv"";""10_A5"")","=HYPERLINK(""images/delft-the-netherlands_subnetworks_S025_SUB_08.png"";""delft-the-netherlands_subnetworks_S025_SUB_08.png"")","=HYPERLINK(""solution_logs/delft-the-netherlands_subnetworks_S025_SUB_08_10_A5_100_HI_S1_05-10min_0.1km-10km_A5.log"";""delft-the-netherlands_subnetworks_S025_SUB_08_10_A5_100_HI_S1_05-10min_0.1km-10km_A5"")"
delft-the-netherlands,subnetworks,S025,SUB,08,20,A5,50,AV,S1,05-10min,0.1km-10km,A5,0,0,50,32.671067,3,-74600.780000,481.456000,82.240000,0.000000,115060,245222,-74600.784000,-74600.784000,1.0,5,55103.0,23.000000,162.983000,"=HYPERLINK(""instances/hybrid/networks/delft-the-netherlands_subnetworks_S025_SUB_08.json"";""delft-the-netherlands_subnetworks_S025_SUB_08"")","=HYPERLINK(""instances/hybrid/requests/delft-the-netherlands_subnetworks_S025_SUB_08/50_AV_S1_05-10min_0.1km-10km_A5.csv"";""50_AV_S1_05-10min_0.1km-10km_A5"")","=HYPERLINK(""instances/hybrid/vehicles/delft-the-netherlands_subnetworks_S025_SUB_08/20_A5.csv"";""20_A5"")","=HYPERLINK(""images/delft-the-netherlands_subnetworks_S025_SUB_08.png"";""delft-the-netherlands_subnetworks_S025_SUB_08.png"")","=HYPERLINK(""solution_logs/delft-the-netherlands_subnetworks_S025_SUB_08_20_A5_50_AV_S1_05-10min_0.1km-10km_A5.log"";""delft-the-netherlands_subnetworks_S025_SUB_08_20_A5_50_AV_S1_05-10min_0.1km-10km_A5"")"
delft-the-netherlands,subnetworks,S025,SUB,08,20,A5,50,HI,S1,05-10min,0.1km-10km,A5,0,0,50,32.462595,3,-74560.780000,521.345600,82.124000,0.000014,113151,242110,-74559.706400,-74560.778400,1.0,4,53333.0,23.000000,90.627998,"=HYPERLINK(""instances/hybrid/networks/delft-the-netherlands_subnetworks_S025_SUB_08.json"";""delft-the-netherlands_subnetworks_S025_SUB_08"")","=HYPERLINK(""instances/hybrid/requests/delft-the-netherlands_subnetworks_S025_SUB_08/50_HI_S1_05-10min_0.1km-10km_A5.csv"";""50_HI_S1_05-10min_0.1km-10km_A5"")","=HYPERLINK(""instances/hybrid/vehicles/delft-the-netherlands_subnetworks_S025_SUB_08/20_A5.csv"";""20_A5"")","=HYPERLINK(""images/delft-the-netherlands_subnetworks_S025_SUB_08.png"";""delft-the-netherlands_subnetworks_S025_SUB_08.png"")","=HYPERLINK(""solution_logs/delft-the-netherlands_subnetworks_S025_SUB_08_20_A5_50_HI_S1_05-10min_0.1km-10km_A5.log"";""delft-the-netherlands_subnetworks_S025_SUB_08_20_A5_50_HI_S1_05-10min_0.1km-10km_A5"")"
delft-the-netherlands,subnetworks,S025,SUB,08,20,A5,50,LO,S1,05-10min,0.1km-10km,A5,0,0,50,34.529829,3,-74611.940000,479.996800,91.936000,0.000000,106149,225494,-74611.939200,-74611.939200,1.0,1,24310.0,22.000000,83.166000,"=HYPERLINK(""instances/hybrid/networks/delft-the-netherlands_subnetworks_S025_SUB_08.json"";""delft-the-netherlands_subnetworks_S025_SUB_08"")","=HYPERLINK(""instances/hybrid/requests/delft-the-netherlands_subnetworks_S025_SUB_08/50_LO_S1_05-10min_0.1km-10km_A5.csv"";""50_LO_S1_05-10min_0.1km-10km_A5"")","=HYPERLINK(""instances/hybrid/vehicles/delft-the-netherlands_subnetworks_S025_SUB_08/20_A5.csv"";""20_A5"")","=HYPERLINK(""images/delft-the-netherlands_subnetworks_S025_SUB_08.png"";""delft-the-netherlands_subnetworks_S025_SUB_08.png"")","=HYPERLINK(""solution_logs/delft-the-netherlands_subnetworks_S025_SUB_08_20_A5_50_LO_S1_05-10min_0.1km-10km_A5.log"";""delft-the-netherlands_subnetworks_S025_SUB_08_20_A5_50_LO_S1_05-10min_0.1km-10km_A5"")"
